"identified_name","difference","accepted_name","identified_rank","accepted_rank","accepted_attr","phylum","class","order","family","genus","subgenus_name","subgenus_reso","primary_reso","species_reso","phylum_no","class_no","order_no","family_no","genus_no","subgenus_no","identified_no","accepted_no"
"Cynodictis lacustris",NA,"Cynodictis lacustris","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynodictis",NA,NA,NA,NA,33815,36651,36905,41266,41276,NA,349281,349281
"n. gen. Enaliarctos n. sp. mealsi",NA,"Enaliarctos mealsi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Enaliarctos",NA,NA,"n. gen.","n. sp.",33815,36651,36905,NA,36916,NA,71871,71871
"Pinnarctidion bishopi",NA,"Pinnarctidion bishopi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Pinnarctidion",NA,NA,NA,NA,33815,36651,36905,NA,36938,NA,72007,72007
"Indarctos sinensis","subjective synonym of","Indarctos atticus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Indarctos",NA,NA,NA,NA,33815,36651,36905,41301,41315,NA,90198,90196
"Protursus sp.",NA,"Protursus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Ailuridae","Protursus",NA,NA,NA,NA,33815,36651,36905,96674,116932,NA,116932,116932
"Ursinae indet.",NA,"Ursinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Ursidae",NA,NA,NA,NA,NA,33815,36651,36905,41301,NA,NA,65407,65407
"Proputorius lufengensis","species not entered","Proputorius","species","genus",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Proputorius",NA,NA,NA,NA,33815,36651,36905,NA,41163,NA,41163,41163
"Sivaonyx bathygnathus",NA,"Sivaonyx bathygnathus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx",NA,NA,NA,NA,33815,36651,36905,41086,41169,NA,438269,156337
"Lutra sp.",NA,"Lutra","genus","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra",NA,NA,NA,NA,33815,36651,36905,41086,41122,NA,41122,41122
"Ictitherium gaudryi","species not entered","Ictitherium","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Ictitherium",NA,NA,NA,NA,33815,36651,36905,41020,41026,NA,41026,41026
"Viverrinae indet.",NA,"Viverrinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Viverridae",NA,NA,NA,NA,NA,33815,36651,36905,40997,NA,NA,72213,72213
"Machaerodus sp.",NA,"Machaerodus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Machaerodus",NA,NA,NA,NA,33815,36651,36905,41045,47826,NA,47826,47826
"n. gen. Atopotarus n. sp. courseni",NA,"Atopotarus courseni","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Atopotarus",NA,NA,"n. gen.","n. sp.",33815,36651,36905,41334,36910,NA,53071,53071
"Allodesmus kernensis",NA,"Allodesmus kernensis","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Allodesmus",NA,NA,NA,NA,33815,36651,36905,41334,36908,NA,72005,72005
"Lynx sp.",NA,"Lynx","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Lynx",NA,NA,NA,NA,33815,36651,36905,41045,41058,NA,41058,41058
"Panthera pardus",NA,"Panthera pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,72185,104158
"Panthera tigris",NA,"Panthera tigris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,90651,104157
"Crocuta crocuta",NA,"Crocuta crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,53881,232133
"Paguma larvata",NA,"Paguma larvata","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Paguma",NA,NA,NA,NA,33815,36651,36905,40997,136643,NA,232934,232933
"Herpestes cf. urva",NA,"Herpestes urva","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes",NA,NA,NA,"cf.",33815,36651,36905,199984,41005,NA,240142,240141
"Viverra cf. zibetha",NA,"Viverra zibetha","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Viverra",NA,NA,NA,"cf.",33815,36651,36905,40997,41018,NA,104163,104163
"Lutra cf. lutra",NA,"Lutra lutra","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra",NA,NA,NA,"cf.",33815,36651,36905,41086,41122,NA,157463,104165
"Arctonyx collaris",NA,"Arctonyx collaris","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Arctonyx",NA,NA,NA,NA,33815,36651,36905,41086,41094,NA,157496,157496
"Ursus thibetanus",NA,"Ursus thibetanus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursus",NA,NA,NA,NA,33815,36651,36905,41301,41331,NA,104029,104029
"Ailuropoda melanoleuca",NA,"Ailuropoda melanoleuca","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda",NA,NA,NA,NA,33815,36651,36905,41301,41304,NA,104016,104015
"Cuon sp.",NA,"Cuon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Cuon",NA,NA,NA,NA,33815,36651,36905,41189,41204,NA,41204,41204
"Panthera cf. leo",NA,"Panthera leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,49734,46521
"Crocuta cf. sivalensis",NA,"Crocuta sivalensis","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,"cf.",33815,36651,36905,41020,45364,NA,376866,376866
"Amphicyon palaeindicus",NA,"Amphicyon palaeindicus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,478218,478218
"Crocuta carnifex","species not entered","Crocuta","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Amphicyon palaeindicus",NA,"Amphicyon palaeindicus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,478218,478218
"Crocuta carnifex","species not entered","Crocuta","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Crocuta gigantea","species not entered","Crocuta","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Crocuta sp.",NA,"Crocuta","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Vinayakia nocturna","species not entered","Vinayakia","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Vinayakia",NA,NA,NA,NA,33815,36651,36905,41045,41082,NA,41082,41082
"Megantereon praecox","species not entered","Megantereon","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Megantereon",NA,NA,NA,NA,33815,36651,36905,41045,41060,NA,41060,41060
"Felidae indet.",NA,"Felidae","family","family",NA,"Chordata","Mammalia","Carnivora","Felidae",NA,NA,NA,NA,NA,33815,36651,36905,41045,NA,NA,41045,41045
"Crocuta carnifex","species not entered","Crocuta","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Crocuta gigantea","species not entered","Crocuta","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,45364,45364
"Ictitherium sp.",NA,"Ictitherium","genus","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Ictitherium",NA,NA,NA,NA,33815,36651,36905,41020,41026,NA,41026,41026
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Felis n. sp. vorohuensis","recombined as","Leopardus vorohuensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Leopardus",NA,NA,NA,"n. sp.",33815,36651,36905,41045,41057,NA,100309,100309
"Panthera tigris",NA,"Panthera tigris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,90651,104157
"Hyena eximia","replaced by, species not entered","Adcrocuta","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Adcrocuta",NA,NA,NA,NA,33815,36651,36905,41020,41021,NA,53232,41021
"Ictitherium cf. hipparionum","species not entered","Ictitherium","species","genus",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Ictitherium",NA,NA,NA,"cf.",33815,36651,36905,41020,41026,NA,41026,41026
"Ravenictis n. sp. krausei",NA,"Ravenictis krausei","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Ravenictis",NA,NA,NA,"n. sp.",33815,36651,36905,NA,40222,NA,51312,51312
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Ictidopappus n. sp. mustelinus",NA,"Ictidopappus mustelinus","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Ictidopappus",NA,NA,NA,"n. sp.",33815,36651,36905,NA,40967,NA,47336,47336
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Pristinictis n. sp. connata",NA,"Pristinictis connata","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Pristinictis",NA,NA,NA,"n. sp.",33815,36651,36905,NA,40969,NA,50669,50669
"Viverravinae indet.",NA,"Viverravinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,57926,57926
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Viverravinae indet.",NA,"Viverravinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,57926,57926
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Viverravinae indet.",NA,"Viverravinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,57926,57926
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacinae indet.",NA,"Miacinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,57534,57534
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Miacinae indet.",NA,"Miacinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,57534,57534
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Viverravinae indet.",NA,"Viverravinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,57926,57926
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miocyon cf. major",NA,"Miocyon major","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"cf.",33815,36651,36905,40978,185339,NA,48697,52556
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Carnivora ? indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,"?",NA,33815,36651,36905,NA,NA,NA,36905,36905
"Miocyon cf. major",NA,"Miocyon major","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"cf.",33815,36651,36905,40978,185339,NA,48697,52556
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Carnivora ? indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,"?",NA,33815,36651,36905,NA,NA,NA,36905,36905
"Viverravinae indet.",NA,"Viverravinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,57926,57926
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"cf. Miocyon sp.",NA,"Miocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,"cf.",NA,33815,36651,36905,40978,185339,NA,40980,185339
"Lycophocyon hutchisoni",NA,"Lycophocyon hutchisoni","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Lycophocyon",NA,NA,NA,NA,33815,36651,36905,NA,240059,NA,240060,240060
"Amphicyonidae indet.",NA,"Amphicyonidae","family","family",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae",NA,NA,NA,NA,NA,33815,36651,36905,41266,NA,NA,41266,41266
"n. gen. Lycophocyon n. sp. hutchisoni",NA,"Lycophocyon hutchisoni","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Lycophocyon",NA,NA,"n. gen.","n. sp.",33815,36651,36905,NA,240059,NA,240060,240060
"Carnivora ? indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,"?",NA,33815,36651,36905,NA,NA,NA,36905,36905
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Miocyon scotti",NA,"Miocyon scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,NA,33815,36651,36905,40978,185339,NA,48698,50737
"Miocyon cf. scotti",NA,"Miocyon scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"cf.",33815,36651,36905,40978,185339,NA,48698,50737
"Miocyon cf. scotti",NA,"Miocyon scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"cf.",33815,36651,36905,40978,185339,NA,48698,50737
"Amphicyonidae ? indet.",NA,"Amphicyonidae","family","family",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae",NA,NA,NA,"?",NA,33815,36651,36905,41266,NA,NA,41266,41266
"Miocyon sp.",NA,"Miocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,NA,33815,36651,36905,40978,185339,NA,40980,185339
"Hesperocyon sp.",NA,"Hesperocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41217,NA,41217,41217
"Caniformia indet. sp. 1 informal","species not entered","Caniformia","species","suborder",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,"informal",33815,36651,36905,NA,NA,NA,54044,54044
"Miocyon vallisrubrae",NA,"Miocyon vallisrubrae","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,NA,33815,36651,36905,40978,185339,NA,185340,185340
"Miocyon sp.",NA,"Miocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,NA,33815,36651,36905,40978,185339,NA,40980,185339
"Miocyon n. sp. scotti",NA,"Miocyon scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"n. sp.",33815,36651,36905,40978,185339,NA,48698,50737
"Miocyon cf. scotti",NA,"Miocyon scotti","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"cf.",33815,36651,36905,40978,185339,NA,48698,50737
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Carnivora ? indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,"?",NA,33815,36651,36905,NA,NA,NA,36905,36905
"Carnivora ? indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,"?",NA,33815,36651,36905,NA,NA,NA,36905,36905
"Carnivora ? indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,"?",NA,33815,36651,36905,NA,NA,NA,36905,36905
"Miacis australis","recombined as","Angelarctocyon australis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Angelarctocyon",NA,NA,NA,NA,33815,36651,36905,41266,351934,NA,48477,48477
"Daphoenus lambei",NA,"Daphoenus lambei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,NA,33815,36651,36905,41266,41279,NA,45548,45548
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Daphoenus cf. lambei",NA,"Daphoenus lambei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,"cf.",33815,36651,36905,41266,41279,NA,45548,45548
"Daphoeninae indet.",NA,"Daphoeninae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae",NA,NA,NA,NA,NA,33815,36651,36905,41266,NA,NA,65411,65411
"Miacis n. sp. australis","recombined as","Angelarctocyon australis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Angelarctocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,351934,NA,48477,48477
"Daphoenictis sp.",NA,"Daphoenictis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenictis",NA,NA,NA,NA,33815,36651,36905,41266,41277,NA,41277,41277
"Hesperocyon ? sp.",NA,"Hesperocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,"?",NA,33815,36651,36905,41189,41217,NA,41217,41217
"Nimravidae indet.",NA,"Nimravidae","family","family",NA,"Chordata","Mammalia","Carnivora","Nimravidae",NA,NA,NA,NA,NA,33815,36651,36905,41036,NA,NA,41036,41036
"Miocyon n. sp. magnus",NA,"Miocyon magnus","species","species",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,"n. sp.",33815,36651,36905,40978,185339,NA,48696,48696
"Daphoenus cf. lambei",NA,"Daphoenus lambei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,"cf.",33815,36651,36905,41266,41279,NA,45548,45548
"Hesperocyon cf. gregarius",NA,"Hesperocyon gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,"cf.",33815,36651,36905,41189,41217,NA,46911,44845
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Miocyon sp.",NA,"Miocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Miacidae","Miocyon",NA,NA,NA,NA,33815,36651,36905,40978,185339,NA,40980,185339
"Miacidae indet.",NA,"Miacidae","family","family",NA,"Chordata","Mammalia","Carnivora","Miacidae",NA,NA,NA,NA,NA,33815,36651,36905,40978,NA,NA,40978,40978
"Angelarctocyon cf. australis",NA,"Angelarctocyon australis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Angelarctocyon",NA,NA,NA,"cf.",33815,36651,36905,41266,351934,NA,351935,48477
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Daphoenus sp.",NA,"Daphoenus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,NA,33815,36651,36905,41266,41279,NA,41279,41279
"Daphoenus lambei",NA,"Daphoenus lambei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenus",NA,NA,NA,NA,33815,36651,36905,41266,41279,NA,45548,45548
"Parictis n. sp. parvus",NA,"Parictis parvus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,"n. sp.",33815,36651,36905,41301,41320,NA,50003,50003
"Parictis n. sp. gilpini",NA,"Parictis gilpini","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Parictis",NA,NA,NA,"n. sp.",33815,36651,36905,41301,41320,NA,50000,50000
"Parictis dakotensis","recombined as","Subparictis dakotensis","species","species",NA,"Chordata","Mammalia","Carnivora","Subparictidae","Subparictis",NA,NA,NA,NA,33815,36651,36905,97834,41326,NA,49999,49999
"Daphoenocyon n. sp. minor","subjective synonym of","Brachyrhynchocyon dodgei","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Brachyrhynchocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,41274,NA,45532,45543
"Eusmilus ? sp.",NA,"Eusmilus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Eusmilus",NA,NA,"?",NA,33815,36651,36905,41036,41040,NA,41040,41040
"Prohesperocyon wilsoni",NA,"Prohesperocyon wilsoni","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Prohesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41236,NA,50768,46917
"Hesperocyon gregarius",NA,"Hesperocyon gregarius","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Hesperocyon",NA,NA,NA,NA,33815,36651,36905,41189,41217,NA,46911,44845
